"","exp_id","cmap_score","p","q","subset_comparison_id","analysis_id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID","valid"
"1098",4984,0,1,1,"preeclampsia_vs_PretermControls","cmap","cefoperazone",5.8e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","327","Cefoperazone dihydrate","MMS_125","NULL","DB01329",1
"1099",4985,0.101925886955724,0.07632,0.189711491442543,"preeclampsia_vs_PretermControls","cmap","ranitidine",1.14e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","201","Ranitidine hydrochloride [66357-59-3]","C0139919","66357-59-3","DB00863",1
"1100",4990,0,1,1,"preeclampsia_vs_PretermControls","cmap","procaine",1.46e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","41","Procaine hydrochloride [51-05-8]","C0033218","51-05-8","DB00721",1
"1101",4991,-0.0774923569277484,0.29455,0.572579668578713,"preeclampsia_vs_PretermControls","cmap","budesonide",9.2e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","518","Budesonide [51333-22-3]","C0054201","51333-22-3","DB01222",1
"1102",4993,0,1,1,"preeclampsia_vs_PretermControls","cmap","proxymetacaine",1.2e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","959","Proparacaine hydrochloride [5875-06-9]","NULL","5875-06-9","DB00807",1
"1103",4995,0.11066669349318,0.03925,0.11374109263658,"preeclampsia_vs_PretermControls","cmap","benzonatate",6.6e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","12","Benzonatate [104-31-4]","C0053229","104-31-4","DB00868",1
"1104",4997,0,1,1,"preeclampsia_vs_PretermControls","cmap","propafenone",1.06e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","499","Propafenone hydrochloride [34183-22-7]","C0033429","34183-22-7","DB01182",1
"1105",4999,0.135403346557811,0.00419,0.0207965825874695,"preeclampsia_vs_PretermControls","cmap","protriptyline",1.34e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","930","Protriptyline hydrochloride [1225-55-4]","C0700557","1225-55-4","DB00344",1
"1106",5000,0,1,1,"preeclampsia_vs_PretermControls","cmap","pyrvinium",3.4e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","1040","Pyrvinium pamoate [3546-41-6]","C0072804","3546-41-6","DB06816",1
"1107",5002,0.12908860068603,0.008,0.0340544312630844,"preeclampsia_vs_PretermControls","cmap","trifluoperazine",8.4e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","313","Trifluoperazine dihydrochloride [440-17-5]","C0304381","440-17-5","DB00831",1
"1108",5003,0.12015085939231,0.01784,0.0620787221905305,"preeclampsia_vs_PretermControls","cmap","remoxipride",9.8e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","971","Remoxipride Hydrochloride [73220-03-8]","C0771022","73220-03-8","DB00409",1
"1109",5009,0,1,1,"preeclampsia_vs_PretermControls","cmap","iopanoic acid",7e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","1052","Iopanoic acid [96-83-3]","C0022028","96-83-3","DB08946",1
"1110",5014,0.109814330723213,0.04185,0.119768292682927,"preeclampsia_vs_PretermControls","cmap","amitriptyline",1.28e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","74","Amitryptiline hydrochloride [549-18-8]","C0002600","549-18-8","DB00321",1
"1111",5019,-0.122990247072184,0.01414,0.0525618525289458,"preeclampsia_vs_PretermControls","cmap","naproxen",1.74e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","45","Naproxen [22204-53-1]","C0546873","22204-53-1","DB00788",1
"1112",5033,0,1,1,"preeclampsia_vs_PretermControls","cmap","orlistat",1e-05,6,"MCF7","HT_HG-U133A","DMSO","Sigma-Aldrich","O4139","Orlistat","C0076275","NULL","DB01083",1
"1113",5036,0,1,1,"preeclampsia_vs_PretermControls","cmap","orlistat",1e-05,6,"PC3","HT_HG-U133A","DMSO","Sigma-Aldrich","O4139","Orlistat","C0076275","NULL","DB01083",1
"1114",5052,0,1,1,"preeclampsia_vs_PretermControls","cmap","orlistat",1e-05,6,"MCF7","HT_HG-U133A","DMSO","Sigma-Aldrich","O4139","Orlistat","C0076275","NULL","DB01083",1
"1115",5078,0,1,1,"preeclampsia_vs_PretermControls","cmap","phenoxybenzamine",1.18e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","944","Phenoxybenzamine hydrochloride [63-92-3]","C0242430","63-92-3","DB00925",1
"1116",5079,0,1,1,"preeclampsia_vs_PretermControls","cmap","tyloxapol",4e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","954","Tyloxapol [25301-02-4]","C0077539","25301-02-4","DB06439",1
"1117",5088,0,1,1,"preeclampsia_vs_PretermControls","cmap","clioquinol",1.3e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","886","Clioquinol [130-26-7]","C0021978","130-26-7","DB04815",1
